overall_qual,gr_liv_area,nb_ranking,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,full_bath,totrms_abvgrd,mas_vnr_area,fireplaces,bsmtfin_sf_1,open_porch_sf,wood_deck_sf,lot_area,saleprice
6,1479,1.4,475.0,2.0,725.0,725,1976,2005,2,6,289.0,0,533.0,44,0,13517,130500
7,2122,2.0,559.0,2.0,913.0,913,1996,1997,2,8,132.0,1,637.0,74,0,11492,220000
5,1057,1.9,246.0,1.0,1057.0,1057,1953,2007,1,5,0.0,0,731.0,52,0,7922,109000
5,1444,2.85,400.0,2.0,384.0,744,2006,2007,2,7,0.0,0,0.0,0,100,9802,174000
6,1445,2.0,484.0,2.0,676.0,831,1900,1993,2,6,0.0,0,0.0,59,0,14235,138500
6,1888,1.9,578.0,2.0,1517.0,1888,1966,2002,2,6,0.0,1,247.0,0,0,16492,190000
6,1072,1.7,525.0,2.0,547.0,1072,2005,2006,2,5,82.0,0,547.0,44,0,3675,140000
5,1188,1.9,531.0,2.0,1188.0,1188,1959,1959,1,6,180.0,0,1000.0,0,0,12160,142000
5,924,1.85,420.0,1.0,924.0,924,1952,1952,1,6,0.0,0,292.0,324,0,15783,112500
5,2080,1.9,504.0,2.0,1040.0,1040,1969,1969,1,9,192.0,2,650.0,0,335,11606,135000
6,987,1.0,264.0,1.0,483.0,483,1971,1971,1,4,232.0,0,387.0,0,0,1680,85400
7,1208,2.5,632.0,2.0,1208.0,1208,2005,2005,2,6,0.0,0,393.0,58,105,7488,183600
5,2016,2.0,576.0,2.0,0.0,1288,1880,2007,1,7,0.0,1,0.0,0,0,26400,131000
8,1607,2.15,480.0,2.0,960.0,962,1999,2000,2,7,456.0,0,813.0,0,169,2645,200000
7,1361,2.5,610.0,2.0,1351.0,1361,2007,2007,2,6,0.0,0,24.0,50,0,9627,193000
5,1430,1.45,624.0,2.0,1430.0,1430,2004,2005,2,7,0.0,0,0.0,0,0,10114,173500
5,1344,1.85,513.0,3.0,624.0,624,1916,1950,1,7,0.0,0,0.0,0,0,4571,98000
5,1121,1.4,480.0,2.0,1121.0,1121,1963,1963,1,5,0.0,0,651.0,80,0,8816,139000
6,1285,1.4,528.0,2.0,660.0,1285,1977,1977,1,7,148.0,1,0.0,0,138,8197,143500
7,1547,2.15,614.0,2.0,756.0,764,2009,2009,2,7,0.0,0,24.0,45,169,8640,215200
5,894,1.4,450.0,2.0,894.0,894,1968,1968,1,5,0.0,1,492.0,0,0,8724,129000
8,1659,3.6,499.0,2.0,1501.0,1659,2000,2000,2,5,0.0,1,1158.0,59,212,5664,278000
8,2253,2.7,575.0,2.0,1209.0,1209,2005,2006,2,8,0.0,1,0.0,142,243,12867,344133
6,1187,2.1,420.0,2.0,1168.0,1187,1992,2007,2,6,0.0,0,935.0,21,483,7980,185000
5,1056,2.1,572.0,2.0,1056.0,1056,1955,1955,1,5,0.0,0,1056.0,0,264,34650,145000
6,1453,1.9,530.0,2.0,1453.0,1453,1961,1961,2,6,3.0,1,1312.0,49,0,10573,187500
5,894,1.4,336.0,1.0,894.0,894,1965,2009,1,5,0.0,1,553.0,144,416,8450,138500
5,1938,2.5,240.0,1.0,942.0,1265,1937,1995,2,7,0.0,1,606.0,40,0,11700,198000
5,1991,1.05,0.0,0.0,957.0,1034,1895,2006,2,9,0.0,0,0.0,0,0,8250,119600
5,924,1.9,576.0,2.0,672.0,672,1949,2006,1,6,0.0,1,0.0,0,0,8064,122900
8,2524,2.05,542.0,2.0,2524.0,2524,1981,1981,2,9,0.0,1,1104.0,120,474,9600,278000
8,1517,2.5,400.0,2.0,792.0,792,1929,1950,1,7,0.0,2,0.0,0,0,11435,230000
8,1494,2.6,481.0,2.0,1494.0,1494,1995,1996,1,6,0.0,1,437.0,30,0,9549,270000
6,948,1.9,410.0,2.0,948.0,948,1952,1952,1,5,0.0,0,441.0,48,0,10950,125000
8,1718,2.5,826.0,3.0,1705.0,1718,2007,2008,2,7,336.0,1,1288.0,44,208,10637,297000
6,1142,1.9,384.0,1.0,160.0,1142,1958,1958,1,5,82.0,1,0.0,28,0,9000,113500
5,1475,1.25,336.0,1.0,757.0,925,1977,1977,2,6,0.0,1,548.0,26,104,2665,127000
6,1844,2.05,546.0,2.0,1844.0,1844,1977,1977,2,7,480.0,1,705.0,122,0,11751,190000
7,1242,2.05,528.0,2.0,1242.0,1242,1973,1973,1,6,320.0,1,916.0,0,0,9600,175500
5,990,2.5,384.0,1.0,990.0,990,1994,1994,1,5,0.0,0,420.0,0,256,8428,146000
5,1256,1.7,276.0,1.0,1256.0,1256,1965,1965,1,6,0.0,0,830.0,68,736,9937,147500
10,2076,2.7,850.0,3.0,2076.0,2076,2006,2006,2,7,0.0,1,1386.0,229,216,13891,465000
5,1110,1.45,602.0,2.0,1097.0,1110,1978,1978,1,4,104.0,1,1097.0,30,303,9101,165500
5,1795,1.85,352.0,1.0,1050.0,1050,1954,1954,2,7,335.0,0,0.0,0,0,12150,131500
5,1040,1.4,384.0,1.0,1040.0,1040,1965,1965,1,5,0.0,0,906.0,0,0,11200,129500
8,1873,2.5,786.0,2.0,608.0,983,1935,1950,1,9,40.0,2,210.0,0,0,9670,257076
5,1604,1.7,660.0,2.0,984.0,984,1941,1960,2,6,0.0,0,408.0,68,0,10998,117000
7,1502,2.5,270.0,1.0,776.0,851,1931,2000,1,6,0.0,1,0.0,0,0,7200,149000
5,1063,1.9,280.0,1.0,1056.0,1063,1954,1954,1,6,110.0,0,354.0,0,0,9920,128000
7,1626,2.7,474.0,2.0,764.0,764,2003,2004,2,6,106.0,0,0.0,27,0,2448,155000
6,1524,2.15,440.0,2.0,756.0,768,2000,2000,2,4,513.0,0,353.0,32,0,2998,166000
